이름,일본어명,위도,경도,구,주소,우편번호,요리,가격,타베로그점수,리뷰수,백명점,전화,예약링크,예약파트너,공식사이트,타베로그,구글지도,미쉐린,인스펙터코멘트
Kinoshita,キノシタ,35.681813,139.69341,시부야구,"3-37-1 Yoyogi, Shibuya-ku",151-0053,프렌치,¥¥,3.78,622,フレンチ TOKYO 2025,+81 3-3376-5336,https://www.tablecheck.com/restaurantkinoshita/reserve?utm_source=michelin_guide,TableCheck,,https://tabelog.com/tokyo/A1318/A131810/13001058/,https://www.google.com/maps/search/?api=1&query=Kinoshita&query_place_id=ChIJD_Eo_MyMGGARvoO1fJh3vDM,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kinoshita-1197753,"Prix fixe is the rule here, but with plenty of room for choice. Traditional fare includes favourites such as pâté de campagne, smoked salmon and roast lamb. Standard dishes are always on the menu, constantly being improved as the chef hones his skills with each dish. The chef prepares his creations in silence, the very picture of the craftsman, pouring his passion into simple French cuisine that brings out the native goodness of the ingredients."
Kuhara,久原,35.65356,139.707711,시부야구,"2-25-38 Higashi, Shibuya-ku",150-0011,일식,¥¥,3.6,272,,+81 50-5596-3472,https://omakaseje.com/r/yg369648?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,https://k-kuhara.com/,https://tabelog.com/tokyo/A1303/A130301/13113247/,https://www.google.com/maps/search/?api=1&query=Kuhara&query_place_id=ChIJR3V9ylyLGGARrmF7Fz2KjVo,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/koryori-kuhara,"The friendly couple who run Kuhara—the chef a disciple of Japanese cuisine, the proprietress a welcoming figure in kappo wear—make us instantly feel at home. The signature fare is duck. In addition to salt-grilled duck, they offer chilled breast stew in summer, and a hot duck stew called jibuni in winter. Dried baby fish with soy and pepper on rice and Kokusho miso soup of root vegetables are must-try items. Unripe pepper is gathered by the couple and their children when they visit her hometown in Tochigi Prefecture. Kokusho miso soup brings back memories for the chef, who sampled it when he applied to a restaurant specialising in shojin ryori."
le bistrot des bleus,ル ビストロ デ ブル,35.650758,139.721829,시부야구,"2F, EAT PLAY WORKS, 5-4-16 Hiro, Shibuya-ku",150-0012,프렌치,¥¥,3.72,537,,+81 3-6447-7131,https://www.tablecheck.com/shops/le-bistrot-des-bleus/reserve?utm_source=michelin_guide,TableCheck,,https://tabelog.com/tokyo/A1307/A130703/13291617/,https://www.google.com/maps/search/?api=1&query=le%20bistrot%20des%20bleus&query_place_id=ChIJ3__Uw4CLGGARuBAn_Qp6kCg,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/le-bistrot-des-bleus,"The ‘blue’ of this ‘bistro of the blues’ refers to the blue in the French flag, which represents liberty. The young chef and sommelier enthusiastically pour out their passion for French cuisine. Home cooking from throughout France, such as choucroute and bouillabaisse, are available à la carte. Doors open at 3pm. Its location in a narrow restaurant row and the casual atmosphere within capture the bistro’s spirit of freedom.<br>"
Le cabaret,ル・キャバレ,35.670097,139.685344,시부야구,"8-8 Motoyoyogicho, Shibuya-ku",151-0062,프렌치,¥¥,3.66,347,,+81 3-3469-7466,,,,https://tabelog.com/tokyo/A1318/A131810/13014486/,https://www.google.com/maps/search/?api=1&query=Le%20cabaret&query_place_id=ChIJswCFkEnzGGARLiDDzGfwybE,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/le-cabaret-1194236,"A place to enjoy organic wine and bistro fare. The blackboard menu is filled with charcuterie such as salami and rillettes, a plentiful serving of crudités, and steak frites. Portions of this classic French cuisine are generous, perfect for sharing a plate. Signatures of wine growers who have visited the restaurant hang on the wall, telling a tale of ongoing exchange."
Los Reyes Magos,ロス レイエス マーゴス,35.677867,139.692365,시부야구,"5-55-7 Yoyogi, Shibuya-ku",151-0053,스페인,¥¥,3.56,337,スペイン料理 2026,+81 3-3469-8231,,,https://www.los-reyes-magos.net/,https://tabelog.com/tokyo/A1318/A131810/13001848/,https://www.google.com/maps/search/?api=1&query=Los%20Reyes%20Magos&query_place_id=ChIJn0LCPcuMGGARkALm5dK40P4,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/los-reyes-magos,"The second-generation chef passes on the Catalonian cuisine that the first-generation chef acquired in Barcelona. Salad of sardines and egg like grandma used to make honours the memory of this couple’s mentors. Dried cod and parsley sauce and homemade sausages convey the flavours of Catalonia, while the well-worn pots attest to the popularity of the paella. Cuisine interwoven with warm memories echoes the journey this restaurant has traced."
Night Market,ナイトマーケット,35.659725,139.708022,시부야구,"2-6-6 Shibuya, Shibuya-ku",150-0002,동남아,¥¥,,,,+81 3-6433-5516,https://omakase.in/ja/r/wa559923?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,https://nightmarket.tokyo/,https://tabelog.com/yamanashi/A1902/A190201/19009552/,https://www.google.com/maps/search/?api=1&query=Night%20Market&query_place_id=ChIJPwzEe16LGGARw8vMhl0NXg4,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/night-market-1241936,"The very name of the restaurant builds excitement ahead of guest’s visit. The concept is a night market, which has roots in Southeast Asia. The chef, inspired by hawker cuisine experienced across multiple countries, interprets street-market dishes through Japanese ingredients. The menu is à la carte, the origin of each dish indicated by national flags. A visit here feels like a tour of the night markets of Vietnam, Thailand, Indonesia and Malaysia. Cuisines, cultures and people mingle in an exotic atmosphere."
REI,レイ,35.670208,139.684517,시부야구,"10-8 Motoyoyogicho, Shibuya-ku",151-0062,중식,¥¥,3.69,753,アジア・エスニック TOKYO 2026,+81 3-6416-8803,,,,https://tabelog.com/tokyo/A1315/A131503/13003307/,https://www.google.com/maps/search/?api=1&query=REI&query_place_id=ChIJuYMf-2_zGGARwqRg25zjQpo,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/rei,"The concept is ‘neo-machichuka’, ‘machichuka’ denoting an unpretentious neighbourhood Chinese restaurant and ‘neo’ referencing an upgrade for modern tastes. A culinary tune-up, so to speak, with the accent on changing aromas and textures. Red sea-bream salad, for example, is dressed with scorched rice for a smoky fragrance. Mouth-watering chicken, prepared in black vinegar to deepen the flavour, accentuates red pepper and nutty texture. Menu items are reassuringly familiar, yet each recipe harbours a novel twist."
Tachiguisushi Sushikawa,立食い鮨 鮨川,35.67279,139.662367,시부야구,"1-62-6 Sasazuka, Shibuya-ku",151-0073,스시,¥¥,3.55,212,,+81 90-9260-3611,https://omakaseje.com/restaurants/xs142940?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,https://www.sushikawa.jp,https://tabelog.com/tokyo/A1318/A131808/13274605/,https://www.google.com/maps/search/?api=1&query=Tachiguisushi%20Sushikawa&query_place_id=ChIJnW7xm6HzGGARyLJezuFbDUU,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tachiguisushi-sushikawa,"Sushi got its start as hawker food that flourished in Edo (old Tokyo). To impart a feeling for that culture, Tachiguisushi Sushikawa is a standup sushi bar (and is what the name means). No drinking snacks; this is nigiri only, which you can order piece by piece according to your taste. Sushi toppings display an old-school craftsmanship. The chef harbours doubts about the recent trend of taking sushi up-market, which is why he recreated the atmosphere of a real-deal, no-nonsense sushi joint. A sushi local where regulars come to chat with the chef."
Tonkatsu Nanaido,とんかつ 七井戸,35.671805,139.713803,시부야구,"3-42-11 Jingumae, Shibuya-ku",150-0001,돈카츠,¥,3.97,888,とんかつ 2026,+81 80-8190-1331,,,,https://tabelog.com/tokyo/A1306/A130603/13229075/,https://www.google.com/maps/search/?api=1&query=Tonkatsu%20Nanaido&query_place_id=ChIJd3k3CTeNGGARmUPOr0Ck8ss,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tonkatsu-nanaido,"As a child, the chef was sometimes given tonkatsu as a special treat. That happy memory inspired him to open this tonkatsu restaurant. Insisting on meat rich with flavour, he uses name-brand pork only. A combination of chunky breadcrumbs and frying in relatively cool lard results in crisp batter and meat that turns succulent. Rice is cooked in clay pots, then transferred to round wooden tubs, bringing out the rice’s sweetness while preserving its fluffy plumpness. As the chef of a yakitori shop as well, he takes special pride in his chicken cutlets."
Torishige,鳥茂,35.687987,139.698876,시부야구,"2-6-5 Yoyogi, Shibuya-ku",151-0053,돼지고기,¥¥,4.05,2975,,+81 3-3379-5188,,,,https://tabelog.com/tokyo/A1318/A131810/13001067/,https://www.google.com/maps/search/?api=1&query=Torishige&query_place_id=ChIJxffWUdCMGGARnZN0ZmEdun8,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/torishige,"This has been in operation since starting life as a food stall in the postwar years. An old photo on the first floor shows the original sign from those early days. The ‘Tori’ in Torishige reflects an earlier usage, when yakitori referred to pork as well as chicken skewers; ‘shige’ is in honour of the Prime Minister of that time, Shigeru Yoshida. In place of chopsticks, two bamboo skewers are used; meat-stuffed bell peppers are a tradition since the first generation. Beef was added by the second-generation chef; the use of rare cuts is an innovation by the current chef. In era after era, Torishige continues its success story."
Homemade Ramen Muginae,Homemade Ramen 麦苗,35.590775,139.732803,시나가와구,"6-11-10 Minamioi, Shinagawa-ku",140-0013,라멘,¥,4.02,2815,ラーメン TOKYO 2025,,https://www.tablecheck.com/shops/muginae/reserve?utm_source=michelin_guide,TableCheck,https://muginae.com/,https://tabelog.com/tokyo/A1315/A131502/13194812/,https://www.google.com/maps/search/?api=1&query=Homemade%20Ramen%20Muginae&query_place_id=ChIJrQzBu9JhGGARkSY8fZeEU_8,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/homemade-ramen-muginae,"One of the essential processes of wheat cultivation is treading the wheat. When the wheat plants bud, farmers tread them down so they grow up strong. The owner-chef named his shop Muginae, ‘wheat seedling’, as a prayer that it would grow as it overcame adversity, a hopeful shoot on the forest floor. Ramen, fragrant and homemade, has a smooth finish. Soup is seasoned with soy sauce, salt and dried sardines. Word has spread like wildfire, and now customers tread the streets of Minamioi from early morning for a cup of this restaurant’s delicious broth."
Mochibuta Tonkatsu Taiyo,もち豚とんかつ たいよう,35.618815,139.706435,시나가와구,"3-22-7 Koyama, Shinagawa-ku",142-0062,돈카츠,¥,3.7,1351,とんかつ 2026,+81 3-3786-1464,,,https://mochibutataiyou.web.fc2.com/,https://tabelog.com/tokyo/A1317/A131710/13059862/,https://www.google.com/maps/search/?api=1&query=Mochibuta%20Tonkatsu%20Taiyo&query_place_id=ChIJf4gUh9uKGGARrKDd6nCOlNk,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/mochibuta-tonkatsu-taiyo,"The shop takes such pride in the quality of its pork—Mochibuta, a domestic pork known for its tender meat and light, clean-flavoured fat—that the brand is in the name of the restaurant. Pork is deep-fried in vegetable oil, on a low flame at a leisurely pace, for a light texture. The chef is a study in undivided concentration as he hovers over his pots. Tonjiru pork soup is generously full of ingredients. The location is next to Musashikoyama Shopping Street, famed for its long arcade. Reservations are accepted for evenings. <br>"
Yakitori Abe,やきとり 阿部,35.633996,139.718071,시나가와구,"3-3-4 Kamiosaki, Shinagawa-ku",141-0021,야키토리,¥¥,3.68,436,焼き鳥 EAST 2025,+81 3-5422-9834,https://omakaseje.com/r/nw350307?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,https://www.hikoei.jp,https://tabelog.com/tokyo/A1316/A131601/13197391/,https://www.google.com/maps/search/?api=1&query=Yakitori%20Abe&query_place_id=ChIJHWZpbRyLGGARLILahwepp6Y,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/yakitori-abe,"The omakase yakitori selections keep coming until you say ‘stop’. Tempo modulates in constant flux: flavours alternate from light to rich, and textures from firm to tender, punctuated with vegetables for variety. Sizes of pieces on skewers vary by cut of meat, accentuating the character of each. In a practice unique to Japan, the chef wears a headband fashioned from a twisted towel, his face a mask of concentration as he focuses on one skewer at a time. Putting his training of the next generation to good use, the chef runs a disciplined kitchen team."
Kyorakutei,蕎楽亭,35.700778,139.739514,신주쿠구,"3-6 Kagurazaka, Shinjuku-ku",162-0825,소바,¥,3.75,1911,そば EAST 2025,+81 3-3269-3233,,,,https://tabelog.com/tokyo/A1309/A130905/13000479/,https://www.google.com/maps/search/?api=1&query=Kyorakutei&query_place_id=ChIJQ-hQ_FqMGGARXvSIGai2obk,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kyorakutei,"The queue forms before the doors open. The reason for Kyorakutei’s popularity is the extensive menu, with drinks and snacks to sample between bites of soba. It’s great to visit any time, whether day or evening. Tempura choices are also abundant, and guests can order combination platters or individual items according to preference. Buckwheat is sourced from the chef’s native Aizu, with a focus on delivering the flavour of cold inaka soba (thick soba made with whole buckwheat) with a pleasing finish. Tomato soba, the early summer speciality, is worth waiting for."
L'AMITIE,ラミティエ,35.712099,139.707969,신주쿠구,"2-9-12 Takadanobaba, Shinjuku-ku",169-0075,프렌치,¥¥,3.72,927,フレンチ TOKYO 2025,+81 3-5272-5010,,,,https://tabelog.com/tokyo/A1305/A130503/13004131/,https://www.google.com/maps/search/?api=1&query=L'AMITIE&query_place_id=ChIJWYTlPjyNGGAR3Gtk2BMdyRc,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/l-amitie-1194223,"Apprenticing at a bistro in Paris, the chef was captivated by its lively energy. At L'AMITIE, he has put down roots in Takadanobaba with this intimate diner where you can feel like part of the daily life of France. Offerings include meat terrine À la campagne, cassoulet and beef cheek simmered in red wine. À la carte items are prepared for two, so you can enjoy sharing. Savour Gallic culinary culture and the ambience of the French countryside."
Loiseau de France,ロワゾー・ドゥ・フランス,35.697974,139.740054,신주쿠구,"15 Ichigayafunagawaramachi, Shinjuku-ku",162-0826,프렌치,¥¥,3.45,142,,+81 3-6280-7803,https://www.tablecheck.com/loiseau-de-france/reserve/message?utm_source=michelin_guide,TableCheck,https://ldf-tokyo.jp/,https://tabelog.com/tokyo/A1309/A130905/13297344/,https://www.google.com/maps/search/?api=1&query=Loiseau%20de%20France&query_place_id=ChIJA65-VQCNGGARoVzRLOg9KPk,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/loiseau-de-france,"Inside Institut Français de Tokyo, time flows slowly, the bustle of the city forgotten. The chalk-white building, designed to suggest a small village in the south of France, gently enfolds a courtyard. Poached eggs in red wine sauce and beef simmered in red wine bring a taste of Saulieu, in Burgundy’s Côte d’Or. Desserts are classic sweets selected from a trolley, as tradition dictates."
Meishan,梅香,35.701196,139.73633,신주쿠구,"37-39 Yokoteramachi, Shinjuku-ku",162-0831,중식,¥¥,3.08,14,,+81 3-3260-2658,,,,https://tabelog.com/toyama/A1605/A160502/16007211/,https://www.google.com/maps/search/?api=1&query=Meishan&query_place_id=ChIJ4_UV5FmMGGARQdOGNgB7vW4,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/meishan,"Two sisters run this Sichuan restaurant, the elder tending flame and wok in the kitchen, the younger serving guests plates of steaming fare. Stir-fried vegetables, served with pickled vegetables and fermented tofu, are home-style favourites. Steamed chicken and mapo tofu use spices to bring out the flavours of the ingredients. Framed Chinese paper-cutout art adorns the walls; the music of the erhu sets the mood. The reverence for Chinese culture and food is unmistakable."
RAMEN MATSUI,ラーメン マツイ,35.689095,139.715487,신주쿠구,"4-25-10 Yotsuya, Shinjuku-ku",160-0004,라멘,¥,3.82,1486,ラーメン TOKYO 2025,,https://www.tablecheck.com/shops/ramen-matsui/reserve?utm_source=michelin_guide,TableCheck,,https://tabelog.com/tokyo/A1304/A130402/13285098/,https://www.google.com/maps/search/?api=1&query=RAMEN%20MATSUI&query_place_id=ChIJGUxqAGCNGGARO3hE-VYdT1E,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ramen-matsui,"The husband boils the noodles; the wife garnishes them with spring onion and fermented bamboo shoots. Between them, they bring alpha and omega together to complete each bowl of ramen. Flavours are based on soy sauce, salt and dried sardines. To bring out the aroma, pure rice sake is added to chicken or seafood dashi soup stock. Several types of fragrant oil are used, deepening the flavour experience. Kombu kelp, scallops and wheat flour, all from Hokkaido, infuse the husband’s love of his homeland."
Shinrakuki,新楽記,35.685578,139.723891,신주쿠구,"2-7 Wakaba, Shinjuku-ku",160-0011,중식,¥¥,3.7,109,,+81 3-6380-0423,https://omakaseje.com/restaurants/bi212881?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,,https://tabelog.com/tokyo/A1309/A130903/13305561/,https://www.google.com/maps/search/?api=1&query=Shinrakuki&query_place_id=ChIJE0g-VACNGGAR0H2D8HY2MuU,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/shinrakuki,"‘Hong Kong cuisine and organic wine’ sums up the concept. We recommend ordering Cantonese flame-broiled items to start. Meat is suspended over an open hearth for patient roasting. On the grill, meat is skewered or hung from special hooks and cooked over direct flame. Pork cuts and duck are sweetened with honey or malt sugar and seasoned with soy sauce or Chinese five-spice powder, which condense the umami as the meat broils. The steamed whole grouper and the pigeon pickled in tamari soy sauce are offered by advance reservation only."
Shokudo Wata,食堂わた,35.689798,139.713012,신주쿠구,"1-19-11 Shinjuku, Shinjuku-ku",160-0022,이자카야,¥¥,3.73,382,食堂 2026,+81 3-6822-7907,,,,https://tabelog.com/tokyo/A1304/A130402/13301720/,https://www.google.com/maps/search/?api=1&query=Shokudo%20Wata&query_place_id=ChIJmaS6agCNGGAR4Ipbl0CB8zs,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/shokudo-wata,"Putting to work his experience studying authentic Japanese cuisine, the chef opened this restaurant as an izakaya where people will drop in as part of their daily lives. A warm and gentle light spreads through the restaurant and into the street through wood-framed windows. Conceived to be enjoyed casually, the flavours in the simple fare are deep and complex. In the unassuming interior, one dish follows another, each prepared with painstaking attention to detail. Maybe this is the meaning of luxury within the everyday."
Soba Osame,蕎麦 おさめ,35.722628,139.701032,신주쿠구,"3-21-5 Shimochiai, Shinjuku-ku",161-0033,소바,¥¥,3.79,417,そば EAST 2025,+81 3-6908-2362,https://omakaseje.com/restaurants/aq960210?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,https://soba-osame.com/,https://tabelog.com/tokyo/A1305/A130502/13283508/,https://www.google.com/maps/search/?api=1&query=Soba%20Osame&query_place_id=ChIJ2XnLSjCLGGARXsq__jWjsRI,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/soba-osame,"With close cooperation with food producers as his creed, the chef devotes himself to his 100% buckwheat juwari soba. He only uses ingredients native to Japan, to convey the charm of old-school soba. Depending where his ingredients come from, his soba may be served on a wickerwork tray, and may be either coarse-ground or ground with husks included. His inquiring mind drives him to check each day’s soba, adjusting thickness and serving temperature according to its nature. His diligent application is raising soba to new levels, as his many regulars would agree."
Sushidokoro Shigeru,すし処 志げる,35.691759,139.721697,신주쿠구,"15 Funamachi, Shinjuku-ku",160-0006,스시,¥¥,3.65,293,,+81 3-3226-1588,,,,https://tabelog.com/tokyo/A1309/A130903/13165153/,https://www.google.com/maps/search/?api=1&query=Sushidokoro%20Shigeru&query_place_id=ChIJB2h0EO6MGGAR31rYtTZG9SQ,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sushidokoro-shigeru,"The chef chose to hang his noren in his native Shinjuku out of his passion to offer ‘a sushi restaurant for the masses’, where guests can enjoy themselves in a casual atmosphere. For many diners, the draw is the omakase set menus. Putting to work his experience across various genres of Japanese cuisine, the chef begins the meal with steamed items, followed by grilled and simmered dishes. As he prepares nigiri sushi, the chef’s knife work is quick, practiced and sure. ‘Torotaku’, a dish of beaten tuna and pickled daikon, is a perennial favourite. The customer-oriented use of high-quality food at reasonable prices is welcome."
Tonkatsu Hinata,とんかつ ひなた,35.712956,139.707493,신주쿠구,"2-13-9 Takadanobaba, Shinjuku-ku",169-0075,돈카츠,¥,3.71,2519,とんかつ 2026,+81 3-6380-2424,,,,https://tabelog.com/tokyo/A1305/A130503/13204289/,https://www.google.com/maps/search/?api=1&query=Tonkatsu%20Hinata&query_place_id=ChIJxScnHjyNGGAR8s-JgzWVvI0,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tonkatsu-hinata,"Tonkatsu Hinata sources pork from two prestigious brands with different flavour profiles. Both are selected for the sweetness of their fat, tender meat, pleasantly firm texture, and abundant flavour. The shop buys pig carcasses whole, so it can offer a wide variety of cuts, including not only loin and tenderloin but also prime rib and rump. Order the evening prix fixe meal and you’ll enjoy the privilege of tasting rarer cuts— rump cap, pork jowl and eye-of-round— fried one after another."
Yakitori SANKA,焼鳥 山香,35.703438,139.732869,신주쿠구,"2F, 64-4 Yaraicho, Shinjuku-ku",162-0805,야키토리,¥¥,3.7,289,焼き鳥 EAST 2025,+81 3-6265-0108,https://www.tablecheck.com/shops/yakitori-sanka/reserve?utm_source=michelin_guide,TableCheck,https://www.yakitori-sanka.jp,https://tabelog.com/tokyo/A1309/A130905/13245585/,https://www.google.com/maps/search/?api=1&query=Yakitori%20SANKA&query_place_id=ChIJsz9BUxWNGGARI6jUCB6WXgE,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/yakitori-sanka,"A former hairdresser, the chef puts his skills with scissors to good use. Chicken for yakitori is cut along the fibres, making skewers that are pleasing to the eye. Salt is applied with the precision of a hairstylist, creating a symphony of flavours that feels meticulously crafted. While favouring chicken from Kochi Prefecture, the chef chooses the producing region according to the cut. Skill and beauty, fused in yakitori—be sure to give it a try."
Sasaki Seimenjo,佐々木製麺所,35.708552,139.592358,스기나미구,"4-26-10 Nishiogikita, Suginami-ku",167-0042,라멘,¥,3.69,390,,,,,https://sasakiseimenjo.shopinfo.jp/,https://tabelog.com/tokyo/A1319/A131907/13210641/,https://www.google.com/maps/search/?api=1&query=Sasaki%20Seimenjo&query_place_id=ChIJKRQvJWvuGGAR2g1o5EfOXLQ,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sasaki-seimenjo,"The chef ’s aim is to create a ramen shop beloved by locals. He sources ingredients from greengrocers and butchers in Nishiogi, treasuring his interactions with local people. The distance from the train station is also a blessing, as neighbourhood schoolchildren and their families can be seen sitting shoulder-to-shoulder, happily slurping noodles. As befits the ‘Seimenjo’, or ‘noodle-maker’, in the name, his use of Japanese wheat is a selling point. In addition to standard thin noodles, he also offers flat noodles. The miso flavour is a much-anticipated treat in autumn and winter."
Sennomago,仙ノ孫,35.706387,139.595811,스기나미구,"4-4-2 Nishiogikita, Suginami-ku",167-0042,중식,¥¥,3.61,263,,+81 3-3390-4808,,,,https://tabelog.com/tokyo/A1319/A131907/13103891/,https://www.google.com/maps/search/?api=1&query=Sennomago&query_place_id=ChIJuyqGoxPuGGARFZH3yNFNs5w,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sennomago,"The chef devotes himself to good health through a balanced diet, using Chinese medicines as seasoning to serve food that is salutary for both mind and body. Vegetables from his native Oita are grown by natural methods, making them gentle to the constitution. At dinner, there is a wide range of à la carte dishes, leaning toward Sichuan and Shanghai influences. The chef allows himself an individual take with the mapo tofu: drawing on a wealth of experience, he offers a choice of Sichuan, aged doubanjiang (Chinese broad bean chili paste) and salt. Lunchtime set menus are also popular."
Shiosoba Jiku,塩そば 時空,35.689738,139.618974,스기나미구,"4-14-7 Takaidohigashi, Suginami-ku",168-0072,라멘,¥,3.83,1163,ラーメン TOKYO 2025,,https://www.tablecheck.com/shops/sio-soba-jiku/reserve?utm_source=michelin_guide,TableCheck,,https://tabelog.com/tokyo/A1319/A131906/13287906/,https://www.google.com/maps/search/?api=1&query=Shiosoba%20Jiku&query_place_id=ChIJ-ddOpBrzGGARSzRFom8VHaY,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/shiosoba-jiku,"The chef heard the call to the culinary life one day while riding his father’s motorcycle on a long tour around the Seto Inland Sea. When he happened upon a ramen shop along the way, the taste of the salty soba touched his soul. He combines a clear seafood broth with homemade noodles crafted with aroma in mind. The ceiling decoration recalls the roof of an old-time food stall, honouring how ramen culture spread in his native Hiroshima Prefecture."
Tensuke,天すけ,35.705867,139.64872,스기나미구,"3-22-7 Koenjikita, Suginami-ku",166-0002,텐푸라,¥,3.57,1281,,+81 3-3223-8505,,,,https://tabelog.com/tokyo/A1319/A131904/13010553/,https://www.google.com/maps/search/?api=1&query=Tensuke&query_place_id=ChIJXaZmo33yGGARE9okpsCbz80,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tensuke,"The lines that form outside Tensuke at lunchtime are a part of the Koenji landscape. Inside, one voice after another calls for the ‘Egg Lunch’. Accompanying the speciality of deep-fried egg on rice, tempura items are fried in a set order. Another speciality is the performance of the chef, who tosses the eggshells in the air in poses worthy of a kabuki actor. The idea is to make the waiting time fun, too. Deep-fried eggs fill mouths with yolk and smiles."
there is ramen,ゼアー イズ ラーメン,35.70737,139.618381,스기나미구,"3-10-16 Amanuma, Suginami-ku",167-0032,라멘,¥,3.78,2324,ラーメン TOKYO 2025,,,,,https://tabelog.com/tokyo/A1319/A131906/13277729/,https://www.google.com/maps/search/?api=1&query=there%20is%20ramen&query_place_id=ChIJoWUx5TvtGGAR2D2FcqOFKFA,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/there-is-ramen,"The soup accentuates the umami of the meats with the flavour of dried sardines; if you’re looking for soup with a unique and beguiling taste, you’ve found it here. Chashumen, ramen topped with roasted pork, is so covered in pork slices that they hide the noodles. Rice is available as an extra with the ramen, so try placing some of the roasted pork on top of it to make chashudon, roast-pork rice. Impressive and satisfying indeed, as if to say there is ramen here."
Edosoba Hosokawa,江戸蕎麦 ほそ川,35.696701,139.798036,스미다구,"1-6-5 Kamezawa, Sumida-ku",130-0014,소바,¥,3.65,1191,そば EAST 2025,+81 3-3626-1125,,,https://www.edosoba-hosokawa.jp/,https://tabelog.com/tokyo/A1312/A131201/13002967/,https://www.google.com/maps/search/?api=1&query=Edosoba%20Hosokawa&query_place_id=ChIJ9evqhjSJGGARAataSp3oYfg,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/edosoba-hosokawa,"An old-school soba shop founded by a Katsushika-born chef. With ‘good food requires good ingredients’ as his credo, he scours Japan end-to-end to find the highest-quality buckwheat, vegetables and seafood. Among his à la carte offerings, he takes pride in temptations such as conger eel, either fried as tempura or simmered. Juwari soba, handmade from raw buckwheat flour, is fine and silky smooth. Everything here, from the crockery to the food to the interior, oozes old-time soba-shop charm. Amidst the old Edo ambience of Ryogoku, a food culture of deep roots and subtle traditions lives on."
Shutei Tanaka,酒亭 田中,35.731387,139.819549,스미다구,"3-25-7 Sumida, Sumida-ku",131-0031,야키토리,¥¥,4.26,382,焼き鳥 EAST 2025,+81 3-3617-6615,https://omakase.in/r/xd293924?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,,https://tabelog.com/tokyo/A1312/A131203/13285811/,https://www.google.com/maps/search/?api=1&query=Shutei%20Tanaka&query_place_id=ChIJ8Xiw5BuPGGARHnGeYNpnDMY,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/shutei-tanaka,"A competitive performance in yakitori run by two brothers, both hailing from other disciplines of Japanese cuisine. Dinner is served prix fixe, with the brothers taking turns serving. Chicken skewers are mainly served salted, keeping the focus on the flavour of the locally raised chicken. As the name ‘Shutei’, meaning something like pub, suggests, the neatly cut snacks and yakitori keep the sake going down smoothly. A number of choices are available for the final dish. Enjoy the ‘baton relay’ of the oyakodon, with the younger brother grilling the chicken and the elder brother wrapping it in egg."
